player;team;minutesPlayed;similarity_score;totalDuelsWonPercentage;aerialDuelsWonPercentage;groundDuelsWonPercentage;accuratePassesPercentage;accuratePasses_p90;accurateLongBallsPercentage;accurateLongBalls_p90;accurateFinalThirdPasses_p90;keyPasses_p90;interceptions_p90;tackles_p90;clearances_p90;dribbledPast_p90;cards_p90
Erick Noriega;Alianza Lima;1737;100,00;66,45;73,13;61,36;87,06;36,94;54,17;3,37;5,28;0,47;1,09;1,40;4,72;0,31;0,10
Matías Di Benedetto;Universitario;1647;86,85;68,07;77,19;59,68;84,06;30,55;42,86;2,62;4,70;0,27;1,53;1,69;4,59;0,38;0,27
Williams Riveros;Universitario;1699;86,39;70,49;68,66;72,73;88,20;29,29;61,86;3,18;2,01;0,16;1,17;1,22;7,05;0,37;0,05
Renzo Garcés;Alianza Lima;1592;83,93;64,18;64,86;63,33;91,13;35,45;64,38;2,66;3,45;0,23;0,90;1,07;5,99;0,28;0,23
Leonel Galeano;Cienciano;988;83,74;62,16;62,86;61,54;86,45;31,97;69,15;5,92;2,64;0,18;1,28;1,82;4,37;0,46;0,09
Carlos Zambrano;Alianza Lima;1024;82,40;70,27;72,73;69,23;81,55;29,53;44,44;3,16;3,52;0,26;0,70;1,14;5,62;0,09;0,18
Jose Bolivar;Club Atlético Grau;1387;82,27;59,56;59,68;59,46;84,60;37,44;51,61;3,11;5,19;0,84;1,56;1,49;3,89;0,45;0,06
Aldair Fuentes;Cusco FC;1957;81,33;66,45;75,68;57,69;91,53;52,70;37,65;1,47;1,61;0,28;1,10;1,10;6,02;0,41;0,28
Rafael Lutiger;Club Sporting Cristal;1448;79,54;58,68;60,56;56,00;86,31;46,62;51,16;4,10;5,10;0,19;0,93;1,12;6,59;0,12;0,19
Rodrigo Tapia;Club Atlético Grau;2059;79,00;59,09;57,89;60,49;88,23;45,55;51,92;3,54;2,49;0,17;1,14;1,92;5,94;0,48;0,13
